title,genres
Christmas Flow,"['comedy', 'music', 'romance']"
Christmas Under Wraps,"['comedy', 'drama', 'romance']"
City of Ember,"['short', 'adventure']"
Clarence,"['animation', 'adventure', 'comedy', 'family']"
Clark,"['action', 'comedy', 'crime', 'drama', 'mystery', 'thriller']"
Clash of the Titans,"['action', 'adventure', 'fantasy']"
Clean,['documentary']
Cleaner,"['short', 'drama']"
Cleaning Up,"['short', 'crime', 'thriller']"
Clemency,['drama']
Cleveland Abduction,"['biography', 'crime', 'drama']"
Clickbait,['comedy']
Close Enemies,"['drama', 'thriller']"
Closed Ward,['drama']
Closer,"['drama', 'romance']"
Cloud Atlas,"['drama', 'mystery', 'sci-fi', 'thriller']"
Clover,"['comedy', 'crime', 'thriller']"
CoComelon,"['animation', 'family']"
Coach Carter,"['biography', 'drama', 'sport']"
Cobalt Blue,"['drama', 'romance']"
Cobra Kai,"['action', 'comedy', 'drama', 'sport']"
Cocaine Cowboys: The Kings of Miami,"['documentary', 'crime', 'history', 'mystery']"
Code 8,"['action', 'crime', 'drama', 'sci-fi', 'thriller']"
Code Name: Emperor,"['drama', 'thriller']"
Coin Locker Girl,"['crime', 'drama', 'thriller']"
Cold Blood Legacy,"['action', 'thriller']"
Cold Mountain,"['documentary', 'short', 'biography']"
Cold Pursuit,"['action', 'comedy', 'crime', 'drama', 'thriller']"
Cold War 2,"['action', 'crime', 'drama']"
Colin in Black & White,"['biography', 'drama', 'sport']"
Collateral,"['short', 'thriller']"
Collectors,['drama']
Collision,"['crime', 'drama', 'thriller']"
Colombiana,"['action', 'drama', 'thriller']"
Colonia,"['biography', 'drama', 'history', 'romance', 'thriller']"
Color Out of Space,"['horror', 'mystery', 'sci-fi', 'thriller']"
Colors of Love,"['drama', 'romance']"
Come Play,"['drama', 'horror', 'mystery', 'thriller']"
Come and See,['documentary']
Come un gatto in tangenziale,['comedy']
Comedy Premium League,['comedy']
Commitment,['drama']
Community,['comedy']
Compadres,"['action', 'comedy', 'crime']"
Company of Heroes,"['action', 'war']"
Compromessi sposi,['comedy']
Confessions of an Invisible Girl,"['comedy', 'drama']"
Conor McGregor: Notorious,"['documentary', 'biography', 'sport']"
Constantine,['short']
Control Z,"['drama', 'thriller']"
Conversations with a Killer: The John Wayne Gacy Tapes,"['documentary', 'biography', 'crime']"
Cook Up A Storm,"['comedy', 'drama']"
Copshop,"['action', 'thriller']"
Corpse Bride,"['short', 'drama', 'thriller']"
Cosmic Sin,"['action', 'sci-fi']"
Countdown,"['horror', 'thriller']"
Country Queen,['drama']
Couple on the Backtrack,"['drama', 'fantasy', 'romance']"
Couples Retreat,"['short', 'comedy']"
Cousins,['drama']
Cowboy Bebop,"['animation', 'action', 'adventure', 'comedy', 'drama', 'sci-fi']"
Cracked,"['horror', 'thriller']"
Cracow Monsters,"['adventure', 'drama', 'fantasy', 'horror', 'thriller']"
Cradle 2 the Grave,"['action', 'crime', 'drama', 'thriller']"
Crank,"['animation', 'short']"
Crank 2: High Voltage,"['action', 'crime', 'thriller']"
Crash Landing on You,"['adventure', 'comedy', 'romance']"
Crash Pad,['comedy']
Crawl,"['short', 'thriller']"
Crayon Shin-chan the Movie: Crash! Rakuga-Kingdom and Almost Four Heroes,"['animation', 'action', 'adventure', 'comedy', 'family', 'fantasy']"
Crayon Shin-chan the Movie: My Moving Story Cactus Attack,"['animation', 'action', 'adventure', 'comedy', 'horror']"
Crayon Shin-chan the Movie: Roar! Kasukabe Animal Kingdom,['animation']
Crayon Shin-chan the Movie: Shrouded in Mystery! The Flowers of Tenkasu Academy,"['animation', 'action', 'adventure', 'comedy', 'mystery']"
Crayon Shin-chan the Movie: The Legend Called: Dance! Amigo!,"['animation', 'comedy', 'horror', 'sci-fi']"
Crayon Shin-chan the Movie: The Storm Called: Operation Golden Spy,"['animation', 'comedy']"
Crayon Shin-chan the Movie: Very Tasty! B-class Gourmet Survival!!,"['animation', 'comedy']"
Crazy Rich Asians,"['comedy', 'drama', 'romance']"
"Crazy, Stupid, Love.","['comedy', 'drama', 'romance']"
Cream,"['short', 'drama']"
Creed,"['crime', 'drama']"
Creed II,"['action', 'drama', 'sport']"
Crime Scene: The Times Square Killer,"['documentary', 'crime', 'history', 'mystery']"
Crime Solving Special Squad,"['documentary', 'crime']"
Crime Stories: India Detectives,"['documentary', 'crime', 'mystery']"
Criminal,"['action', 'sci-fi', 'thriller']"
Crimson Peak,"['drama', 'horror', 'mystery', 'romance', 'thriller']"
Crush,"['comedy', 'romance']"
Cry Babies Magic Tears,"['animation', 'family']"
Crô em Família,['comedy']
Cult of Chucky,"['horror', 'thriller']"
Cut Throat City,"['action', 'crime', 'drama', 'thriller']"
Cyber Hell: Exposing an Internet Horror,"['documentary', 'crime']"
Cúmplices de um Resgate,"['adventure', 'family', 'music']"
D.B. Cooper: Where Are You?!,"['documentary', 'crime', 'history', 'mystery']"
D.P.,"['action', 'crime', 'drama']"
DC's Legends of Tomorrow,"['action', 'adventure', 'drama', 'sci-fi']"
DEATH NOTE,"['animation', 'crime', 'drama', 'fantasy', 'mystery', 'thriller']"
DI4RIES,"['comedy', 'drama', 'family', 'romance']"
DOTA: Dragon's Blood,"['animation', 'action', 'adventure', 'fantasy', 'mystery', 'thriller']"
Daddy Day Camp,"['comedy', 'family']"
Daddy Day Care,"['comedy', 'family']"
Daddy's Home,['short']
Daddy's Home 2,['comedy']
Daddy's Little Girls,"['drama', 'romance']"
Daeng Phra Khanong,"['comedy', 'horror', 'thriller']"
Dali & Cocky Prince,"['comedy', 'drama', 'romance']"
Dancing on Glass,"['drama', 'thriller']"
Danger Close: The Battle of Long Tan,"['action', 'drama', 'war']"
Dangerous,"['action', 'crime', 'drama', 'romance', 'thriller']"
Dangerous Beauty,"['biography', 'drama', 'romance']"
Dangerous Liaisons,"['drama', 'romance']"
Dare to Love,['drama']
Daredevil,"['action', 'crime']"
Dark Desire,"['drama', 'mystery', 'thriller']"
Dark Figure of Crime,"['crime', 'drama']"
Dark Shadows,"['comedy', 'fantasy', 'horror']"
Dark Waters,"['biography', 'drama', 'history']"
Dark World,"['action', 'drama', 'fantasy', 'thriller']"
Darlings,"['comedy', 'drama', 'thriller']"
Das Haus Anubis,"['adventure', 'drama', 'family', 'mystery']"
Dasvi,"['comedy', 'drama']"
Daughter From Another Mother,"['comedy', 'drama']"
Daughter of the Wolf,"['action', 'thriller']"
Dave Chappelle: The Closer,['comedy']
David and the Elves,"['comedy', 'family', 'fantasy']"
Day Shift,"['action', 'comedy', 'fantasy', 'horror', 'thriller']"
Day of Destiny,"['adventure', 'drama', 'sci-fi']"
Daylight,"['horror', 'mystery', 'thriller']"
Days of Disaster,"['documentary', 'drama']"
Days of Thunder,"['action', 'drama', 'sport']"
Dazzling Mirage,['drama']
Dead Man Down,"['action', 'crime', 'drama', 'thriller']"
Deadlock,"['action', 'thriller']"
Deadly Class,"['action', 'adventure', 'comedy', 'crime', 'drama', 'thriller']"
Deadly Cuts,['comedy']
Deadly Sins,"['documentary', 'crime']"
Deadwind,"['crime', 'drama', 'mystery', 'thriller']"
Dear Friend,"['comedy', 'drama']"
Dear Mother,['comedy']
Dear Nathan Thank You Salma,"['drama', 'romance']"
Dear Tenant,"['drama', 'romance']"
Death Race,"['short', 'drama']"
Death Race 2,"['action', 'crime', 'sci-fi', 'thriller']"
Death Wish (2018),"['action', 'crime', 'drama', 'thriller']"
Death to 2021,['documentary']
Deck the Halls,"['short', 'action', 'comedy', 'crime']"
Decoupled,"['comedy', 'drama']"
Deep,"['drama', 'mystery', 'sci-fi', 'thriller']"
Deep Blue Sea 2,"['action', 'horror', 'sci-fi', 'thriller']"
Deep Blue Sea 3,"['action', 'horror', 'sci-fi']"
Deep Impact,['short']
Deepwater Horizon,"['action', 'drama', 'history', 'thriller']"
Delicious Romance,['drama']
Deliver Us from Evil,"['action', 'adventure', 'crime', 'fantasy', 'horror', 'mystery', 'thriller']"
Dem Horizont so nah,"['drama', 'romance']"
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,['talk-show']
Demon Slayer: Kimetsu no Yaiba,"['animation', 'action', 'adventure', 'fantasy', 'thriller']"
Den of Thieves,"['action', 'crime', 'drama', 'thriller']"
Department,"['action', 'crime', 'thriller']"
Der Fall Collini,"['crime', 'drama', 'thriller', 'war']"
Deranged,['drama']
Descendants of the Sun,['drama']
Desperado,"['action', 'crime', 'thriller', 'western']"
Despicable Me,"['animation', 'adventure', 'comedy', 'crime', 'family', 'sci-fi']"
Despicable Me 2,"['animation', 'adventure', 'comedy', 'crime', 'family', 'sci-fi']"
Detective Anna,"['crime', 'fantasy', 'mystery']"
Detective Chinatown,"['action', 'comedy', 'mystery']"
Detective Chinatown 2,"['action', 'comedy', 'mystery']"
Detective Chinatown 3,"['action', 'adventure', 'comedy', 'mystery']"
Detective Conan,"['animation', 'action', 'comedy', 'crime', 'drama', 'mystery', 'romance', 'sci-fi', 'thriller']"
Detective Dee: The Four Heavenly Kings,"['action', 'adventure', 'drama', 'fantasy']"
"Devotion, a Story of Love and Desire","['drama', 'romance']"
Dhamaka,"['crime', 'drama', 'thriller']"
Diary of a Modern Dad,"['drama', 'romance']"
Die Hochzeit,"['short', 'drama']"
Die Wolf-Gäng,"['adventure', 'comedy', 'family', 'fantasy']"
Dignitate,['drama']
Diner,['crime']
Dinner for Schmucks,['comedy']
Dirty Grandpa,['comedy']
Dirty Lines,"['drama', 'history']"
Disappearance at Clifton Hill,"['drama', 'mystery', 'thriller']"
Disenchantment,"['animation', 'action', 'adventure', 'comedy', 'fantasy']"
Disturbia,"['short', 'thriller']"
Diva,"['drama', 'mystery', 'thriller']"
Dive Club,"['adventure', 'drama', 'family', 'mystery']"
Divergent,"['comedy', 'drama']"
Django Unchained,"['drama', 'western']"
Doctor (Tamil),"['action', 'comedy']"
Doctor (Telugu),['talk-show']
Doctor John,"['drama', 'mystery', 'romance']"
Doctor Prisoner,"['drama', 'mystery', 'thriller']"
Doctor Sleep,"['drama', 'fantasy', 'horror', 'thriller']"
Doing Hard Time,"['action', 'drama']"
Dolce Amore,"['comedy', 'drama', 'romance']"
Dolittle,"['adventure', 'comedy', 'family', 'fantasy']"
Don,"['comedy', 'drama', 'romance']"
Don't Breathe,"['crime', 'horror', 'thriller']"
Don't Breathe 2,"['action', 'crime', 'horror', 'thriller']"
Don't Kill Me,"['fantasy', 'horror', 'romance']"
Don't Let Go,"['drama', 'horror', 'mystery', 'sci-fi', 'thriller']"
Don't Look Up,"['comedy', 'drama', 'sci-fi']"
Don’t Blame Karma!,"['comedy', 'romance']"
Doom of Love,"['drama', 'romance']"
Doomed Marriage,"['documentary', 'drama']"
Doomsday,"['action', 'sci-fi']"
Dora and the Lost City of Gold,"['action', 'adventure', 'comedy', 'family', 'fantasy', 'horror', 'mystery']"
Double Jeopardy,"['crime', 'drama', 'mystery', 'thriller']"
Double Team,"['action', 'comedy', 'sci-fi', 'thriller']"
Downfall: The Case Against Boeing,['documentary']
Downsizing,"['drama', 'fantasy', 'sci-fi']"
Downton Abbey,"['drama', 'romance']"
Dr. Romantic,"['drama', 'romance']"
Dr. Seuss' The Cat in the Hat,['short']
Dr. Seuss' The Grinch,"['animation', 'family']"
Dr. Seuss' The Lorax,['family']
Dr. White,"['action', 'adventure', 'drama', 'romance']"
Dracula Untold,"['action', 'drama', 'fantasy', 'horror']"
Dragon,"['action', 'crime', 'drama', 'thriller']"
Dragon Inn Part 1: The City of Sadness,['action']
Dream High,"['comedy', 'music', 'romance']"
Dreamkatcher,"['short', 'drama']"
Dreamy Eyes,"['drama', 'romance']"
Drift,"['short', 'action', 'comedy']"
Drillbit Taylor,"['action', 'comedy', 'crime']"
Drive My Car,['drama']
Droneman,"['action', 'adventure', 'sci-fi']"
Drowning Love,"['drama', 'romance']"
Dumb and Dumber,['comedy']
Dumplin',"['comedy', 'drama']"
Dune,"['action', 'adventure', 'drama', 'sci-fi']"
Dunkirk,"['action', 'drama', 'history', 'thriller', 'war']"
Dwindle,['comedy']
Dynasty,"['drama', 'romance']"
Dynasty Warriors,"['action', 'adventure', 'fantasy']"
EDENS ZERO,"['animation', 'action', 'adventure', 'comedy', 'fantasy', 'sci-fi']"
Eagle Eye,"['short', 'action', 'crime']"
Earwig and the Witch,"['animation', 'adventure', 'family', 'fantasy']"
Eat Pray Love,"['biography', 'drama', 'romance']"
Echoes,"['drama', 'mystery', 'thriller']"
Edge of Tomorrow,"['action', 'adventure', 'sci-fi']"
El Cartel,"['action', 'crime', 'drama', 'thriller']"
El Chema,"['action', 'crime']"
El final del paraíso,"['action', 'drama']"
El infierno,['short']
El marginal,"['crime', 'drama', 'mystery', 'thriller']"
El paseo 6,['comedy']
El señor de los Cielos,"['action', 'crime', 'drama', 'romance', 'thriller']"
Elektra,"['action', 'adventure', 'crime', 'fantasy']"
Elf,"['adventure', 'comedy', 'family', 'fantasy', 'romance']"
Elite,"['crime', 'drama', 'thriller']"
Elize Matsunaga: Once Upon a Crime,"['documentary', 'biography', 'crime', 'mystery']"
Ella Enchanted,"['comedy', 'family', 'fantasy', 'romance']"
Elves,"['drama', 'fantasy', 'horror', 'mystery', 'thriller']"
Elysium,"['short', 'thriller']"
Emily in Paris,"['comedy', 'drama', 'romance']"
Emma.,"['comedy', 'drama', 'romance']"
Emperor,"['biography', 'drama', 'history', 'western']"
Employee of the Month,"['short', 'drama']"
Empresses in the Palace,"['drama', 'history', 'romance']"
Encounter,"['drama', 'sci-fi', 'thriller']"
End of Watch,"['action', 'adventure', 'crime', 'drama', 'thriller']"
Ender's Game,"['action', 'adventure', 'sci-fi']"
Endless Love,['thriller']
Enforcement,"['action', 'crime', 'drama', 'thriller']"
Enough,"['animation', 'short']"
Entrapment,"['short', 'thriller']"
Entre Amis,"['comedy', 'drama']"
Erin Brockovich,"['biography', 'drama']"
Escalona,"['drama', 'adventure', 'musical']"
Escape From Mogadishu,"['action', 'drama', 'thriller']"
Escape Plan,"['short', 'thriller']"
Escape Plan 2: Hades,"['action', 'crime', 'mystery', 'sci-fi', 'thriller']"
Escape Plan: The Extractors,"['action', 'crime', 'thriller']"
Escape Room,"['short', 'action']"
Escape Room: Tournament Of Champions,"['action', 'adventure', 'horror', 'mystery', 'sci-fi', 'thriller']"
Escape from Pretoria,"['biography', 'crime', 'mystery', 'thriller']"
Esperando la carroza,['drama']
Eternally Confused and Eager for Love,"['comedy', 'romance']"
Etharkkum Thunindhavan,"['action', 'crime', 'drama', 'thriller']"
Etharkkum Thunindhavan (Hindi),"['action', 'crime', 'drama', 'thriller']"
Etharkkum Thunindhavan (Telugu),"['action', 'crime', 'drama', 'thriller']"
Eu Sou Mais Eu,"['comedy', 'fantasy']"
Eurotrip,"['documentary', 'short', 'adventure']"
Every Breath You Take,"['drama', 'mystery', 'thriller']"
Everybody Loves Raymond,['comedy']
Everything But a Man,"['comedy', 'drama', 'romance']"
Everything Must Go,"['documentary', 'comedy']"
Everything Will Be Fine,"['comedy', 'drama']"
Executive Decision,"['short', 'crime']"
Exit,"['crime', 'horror', 'thriller']"
Exit Wounds,['short']
Extinct,"['animation', 'adventure', 'comedy', 'family']"
Extraordinary Attorney Woo,['drama']
Extraordinary You,"['comedy', 'fantasy', 'romance']"
Extreme Job,"['action', 'comedy', 'crime']"
Extremely Easy Job,"['comedy', 'drama']"
"Extremely Wicked, Shockingly Evil and Vile","['biography', 'crime', 'drama', 'thriller']"
Eye See You,"['animation', 'short', 'comedy']"
F*ck Love Too,"['comedy', 'romance']"
F*ck de Liefde,"['comedy', 'romance']"
F3: Fun and Frustration,"['comedy', 'family', 'romance']"
F9: The Fast Saga,"['action', 'crime', 'thriller']"
Fack ju Göhte 3,['comedy']
Failure to Launch,"['short', 'comedy']"
Falling Into Your Smile,"['comedy', 'drama', 'romance']"
Falling for Figaro,"['comedy', 'romance']"
Falsa identidad,"['crime', 'drama', 'thriller']"
Family Business,['family']
Family Guy,"['animation', 'comedy']"
Family History,"['short', 'horror']"
Family Reunion,"['comedy', 'family']"
Fantastic Beasts and Where To Find Them,"['adventure', 'family', 'fantasy']"
Fantastic Beasts: The Crimes of Grindelwald,"['adventure', 'family', 'fantasy']"
Fantastic Fungi,['documentary']
Fast & Feel Love,"['action', 'comedy', 'drama', 'romance', 'sport', 'thriller']"
Fast & Furious Presents: Hobbs & Shaw,"['action', 'adventure', 'thriller']"
Fast & Furious Spy Racers,"['animation', 'action', 'adventure', 'comedy', 'crime', 'drama']"
Faster,"['short', 'action']"
Fat Choi Spirit,"['comedy', 'romance']"
Fatale,['thriller']
Father Christmas Is Back,['comedy']
Father Figures,"['comedy', 'drama']"
Fatherhood,"['comedy', 'drama']"
Fathers & Daughters,['drama']
Fatman,"['action', 'adventure', 'comedy', 'fantasy', 'sci-fi', 'thriller']"
Fear,"['drama', 'thriller']"
Fear Street Part 1: 1994,"['drama', 'horror', 'mystery']"
Fear Street Part 2: 1978,"['drama', 'horror', 'mystery']"
Fear Street Part 3: 1666,"['horror', 'mystery']"
Fear of Rain,"['drama', 'horror', 'thriller']"
Feel the Beat,"['comedy', 'drama', 'family']"
Feels Like Ishq,"['comedy', 'drama', 'romance']"
Felon,"['short', 'drama']"
Feria: The Darkest Light,"['crime', 'drama', 'fantasy', 'horror', 'thriller']"
Fever Dream,"['drama', 'horror', 'mystery', 'thriller']"
Fierce,"['comedy', 'music']"
Fifty Shades Freed,"['drama', 'romance', 'thriller']"
Fight Club,['drama']
Fighting with My Family,"['biography', 'comedy', 'drama', 'sport']"
Final Score,"['action', 'drama', 'thriller']"
Finding Hubby,"['drama', 'romance']"
Finding Ola,"['comedy', 'drama']"
Finding You,"['drama', 'romance']"
Fine Wine,['romance']
Firedrake the Silver Dragon,"['short', 'action']"
First Daughter,"['comedy', 'drama', 'romance']"
First Kill,"['drama', 'horror', 'mystery']"
First Love,['romance']
First Man,"['biography', 'drama', 'history']"
First Sunday,"['comedy', 'crime', 'drama']"
"First, Second & Third Love","['drama', 'romance']"
Fishbowl Wives,"['drama', 'romance']"
Fist Fight,['comedy']
Fistful of Vengeance,"['action', 'crime', 'drama', 'fantasy']"
Five Feet Apart,"['drama', 'romance']"
Flatliners,"['drama', 'horror', 'mystery', 'sci-fi', 'thriller']"
Flight,"['action', 'thriller']"
Flip a Coin -ONE OK ROCK Documentary-,"['documentary', 'music']"
Flirting Scholar,"['comedy', 'romance']"
Flu,['sci-fi']
Focus,"['action', 'crime', 'mystery', 'thriller']"
Fool's Gold,['short']
Foot Fairy (Hindi),"['crime', 'thriller']"
Footloose,['short']
For Life,"['biography', 'crime', 'drama']"
For Maria Ebun Pataki,['drama']
Forecasting Love and Weather,"['drama', 'romance']"
Forever Out of My League,"['comedy', 'drama', 'romance']"
Forever Rich,"['comedy', 'crime', 'drama', 'music', 'thriller']"
Forgetting Sarah Marshall,"['comedy', 'drama', 'romance']"
Forgotten We'll Be,"['drama', 'history']"
Formosa 1867,['history']
Formula 1: Drive to Survive,"['documentary', 'sport']"
Forrest Gump,"['drama', 'romance']"
Forsaken,"['adventure', 'drama', 'sci-fi']"
Fortuna's Eye,"['fantasy', 'romance']"
Found,"['documentary', 'drama']"
Four Brothers,"['action', 'crime', 'drama', 'mystery', 'thriller']"
Four Christmases,"['comedy', 'drama', 'romance']"
Four to Dinner,"['comedy', 'romance']"
Fracture,"['short', 'action', 'thriller']"
Framed! A Sicilian Murder Mystery,"['comedy', 'crime']"
Frayed,"['comedy', 'drama']"
Freedom Writers,"['biography', 'crime', 'drama']"
French Exit,"['comedy', 'drama']"
Frida,['short']
Friday,"['comedy', 'drama']"
Friends,"['comedy', 'romance']"
Friendzone,"['comedy', 'romance']"
Frontliner,['drama']
FullMetal Alchemist,"['action', 'adventure', 'fantasy', 'sci-fi']"
Fullmetal Alchemist The Revenge of Scar,"['action', 'adventure', 'fantasy']"
Fun with Dick & Jane,"['comedy', 'crime']"
Furious 7,"['action', 'crime', 'thriller']"
Furioza,"['action', 'crime', 'drama']"
Fury,"['action', 'drama', 'war']"
Future World,"['action', 'adventure', 'sci-fi']"
G.I. Joe: Retaliation,"['action', 'adventure', 'sci-fi', 'thriller']"
G.I. Joe: The Rise of Cobra,"['action', 'adventure', 'sci-fi', 'thriller']"
GOLGO13,"['animation', 'action', 'adventure', 'crime', 'drama', 'mystery', 'thriller']"
Gabby's Dollhouse,"['animation', 'adventure', 'comedy', 'family', 'fantasy', 'musical']"
Game Changer,"['comedy', 'crime', 'drama', 'romance', 'thriller']"
Game Night,['short']
Game of Outlaws,['reality-tv']
Ganglands,"['action', 'crime', 'drama', 'thriller']"
Gangs of New York,"['crime', 'drama']"
Gangster Squad,"['action', 'crime', 'drama', 'thriller']"
Gangubai Kathiawadi,"['biography', 'crime', 'drama']"
Gantz,"['action', 'horror', 'sci-fi']"
Gantz II: Perfect Answer,"['action', 'adventure', 'drama', 'horror', 'mystery', 'sci-fi']"
Gasoline Alley,"['action', 'thriller']"
Gemini Man,"['action', 'sci-fi', 'thriller']"
Generation 56k,"['comedy', 'drama', 'romance']"
Georgetown,"['short', 'music']"
Geostorm,"['action', 'sci-fi', 'thriller']"
Geronimo: An American Legend,"['drama', 'history', 'western']"
Get Carter,"['action', 'crime', 'drama', 'thriller']"
Get Hard,['comedy']
Get Him Girl!,"['comedy', 'romance']"
Get Organized with The Home Edit,['reality-tv']
Get Rich or Die Tryin',"['biography', 'crime', 'drama', 'music']"
Get Smart,"['action', 'adventure', 'comedy']"
Getaway,"['short', 'comedy', 'crime', 'drama']"
Ghost Doctor,"['comedy', 'fantasy', 'romance']"
Ghost In Transit,['comedy']
Ghost Rider,"['action', 'fantasy', 'thriller']"
Ghost Rider: Spirit of Vengeance,"['action', 'fantasy', 'thriller']"
Ghost Ship,['horror']
Ghost in the Shell,"['action', 'crime', 'drama', 'mystery', 'sci-fi', 'thriller']"
Ghost in the Shell: SAC_2045,"['animation', 'action', 'crime', 'drama', 'mystery', 'sci-fi', 'thriller']"
Ghost in the Shell: SAC_2045 Sustainable War,"['animation', 'action', 'sci-fi']"
Ghostbusters: Afterlife,"['adventure', 'comedy', 'fantasy', 'sci-fi']"
Gidi Blues,['romance']
Gierek,"['biography', 'drama']"
Gifted Hands: The Ben Carson Story,"['biography', 'drama']"
Gimme Shelter,"['short', 'action']"
Ginny & Georgia,"['comedy', 'drama']"
Ginny Weds Sunny,"['comedy', 'drama', 'romance']"
Gintama: The Very Final,"['animation', 'action', 'comedy', 'fantasy', 'sci-fi']"
Girl in the Picture,"['documentary', 'crime', 'mystery']"
"Girl, Interrupted","['biography', 'drama']"
Gladbeck: The Hostage Crisis,"['documentary', 'crime']"
Gladiator,"['action', 'adventure', 'drama']"
Glamour Girls,['drama']
Glitch,"['short', 'fantasy']"
Gloria Bell,"['comedy', 'drama', 'music', 'romance']"
Glorious,"['drama', 'romance']"
Glorious Days,"['comedy', 'drama', 'musical']"
Glow Up,"['game-show', 'reality-tv']"
Glória,"['drama', 'history', 'thriller']"
Go Dog Go,"['animation', 'family']"
God's Favorite Idiot,"['comedy', 'fantasy']"
Gods of Egypt,"['action', 'adventure', 'fantasy']"
Godse,"['action', 'thriller']"
Godspeed,['drama']
Godzilla vs. Kong,"['action', 'sci-fi', 'thriller']"
Godzilla: King of the Monsters,"['action', 'adventure', 'fantasy', 'sci-fi']"
Going in Style,"['comedy', 'crime']"
Gold,"['action', 'adventure', 'thriller']"
Gold Leaf,['drama']
Golden Kamuy,"['animation', 'action', 'adventure', 'history', 'western']"
Golden Slumber,"['action', 'crime', 'drama', 'thriller']"
Gomorrah,"['crime', 'drama', 'thriller']"
Gone,"['action', 'adventure', 'mystery', 'thriller']"
Gone Baby Gone,"['crime', 'drama', 'mystery', 'thriller']"
Gone Girl,"['drama', 'mystery', 'thriller']"
Gone Wednesday,"['short', 'drama']"
Gone for Good,"['crime', 'drama', 'mystery', 'thriller']"
Good Boys,"['adventure', 'comedy']"
Good Doctor,"['drama', 'romance']"
Good Girls,"['comedy', 'crime', 'drama']"
Good Luck Chuck,['comedy']
"Good Morning, Verônica","['crime', 'drama', 'mystery', 'thriller']"
Good on Paper,"['comedy', 'romance']"
Goosebumps,"['adventure', 'comedy', 'fantasy', 'horror']"
Goosebumps 2: Haunted Halloween,"['adventure', 'comedy', 'fantasy', 'horror']"
Gothika,"['horror', 'mystery', 'thriller']"
Gotti,"['biography', 'crime', 'drama']"
Grace and Frankie,['comedy']
Gran Torino,['drama']
Grand Isle,['thriller']
Graveyard,"['crime', 'drama', 'mystery', 'thriller']"
Grease,"['comedy', 'musical', 'romance']"
Great White,"['horror', 'thriller']"
Greed,['thriller']
Green Book,"['biography', 'comedy', 'drama', 'music']"
Green Lantern,"['action', 'adventure', 'sci-fi']"
Green Mothers' Club,"['drama', 'mystery']"
Green Snake,"['action', 'fantasy']"
Greenland,"['action', 'thriller']"
Grey's Anatomy,"['drama', 'romance']"
Gridiron Gang,"['biography', 'crime', 'drama', 'sport']"
Grindhouse: Death Proof,"['action', 'thriller']"
Grindhouse: Planet Terror,"['action', 'comedy', 'horror', 'sci-fi', 'thriller']"
Grown Ups,"['short', 'drama']"
Grown Ups 2,['comedy']
Grudge,"['crime', 'drama', 'mystery', 'thriller']"
Grumpy Christmas,['comedy']
Guardian: The Lonely and Great God,"['comedy', 'drama', 'fantasy', 'romance']"
Guest House,['comedy']
Guimoon: The Lightless Door,"['horror', 'mystery', 'thriller']"
Gump – The Dog Who Taught People How to Live,"['adventure', 'family']"
Gunjan Saxena: The Kargil Girl,"['action', 'biography', 'drama', 'war']"
Gunpowder Milkshake,"['action', 'crime', 'thriller']"
Guns Akimbo,"['action', 'comedy', 'crime', 'thriller']"
Gunshot,"['crime', 'drama', 'mystery', 'thriller']"
H2O: Just Add Water,"['drama', 'family', 'fantasy']"
Hababam Sınıfı,"['comedy', 'drama']"
Habibie & Ainun 3,"['biography', 'drama', 'romance']"
Hachi: A Dog's Tale,"['biography', 'drama', 'family']"
Hacksaw Ridge,"['biography', 'drama', 'history', 'war']"
Hail the Judge,['comedy']
"Hail, Driver!","['drama']"
Hairspray,"['comedy', 'drama', 'musical', 'romance']"
Halftime,"['documentary', 'biography', 'music']"
Halloween,"['crime', 'horror', 'thriller']"
Hanna,"['action', 'adventure', 'drama', 'thriller']"
Happiest Season,['drama']
Happiness,"['animation', 'short', 'drama']"
Happiness Ever After,"['drama', 'romance']"
Happiness Is a Bliss,"['animation', 'comedy', 'family']"
Happy Birthday,['comedy']
Happy Death Day,"['comedy', 'horror', 'mystery', 'thriller']"
Happy Death Day 2U,"['comedy', 'horror', 'mystery', 'sci-fi', 'thriller']"
Happy Family Journal,['talk-show']
Happy Gilmore,"['comedy', 'sport']"
Hard Cell,['comedy']
Hard Target,"['action', 'crime', 'thriller']"
Hard Target 2,"['action', 'thriller']"
Hard to Kill,"['short', 'horror']"
Harriet,"['action', 'biography', 'drama', 'history']"
Harry Potter and the Chamber of Secrets,"['adventure', 'family', 'fantasy', 'mystery']"
Harry Potter and the Deathly Hallows: Part 1,"['adventure', 'family', 'fantasy', 'mystery']"
Harry Potter and the Goblet of Fire,"['adventure', 'family', 'fantasy', 'mystery']"
Harry Potter and the Half-Blood Prince,"['action', 'adventure', 'family', 'fantasy', 'mystery']"
Harry Potter and the Order of the Phoenix,"['action', 'adventure', 'family', 'fantasy', 'mystery']"
Harry Potter and the Prisoner of Azkaban,"['adventure', 'family', 'fantasy', 'mystery']"
Harry Potter and the Sorcerer's Stone,"['adventure', 'family', 'fantasy']"
Haseen Dillruba,"['crime', 'drama', 'mystery', 'romance', 'thriller']"
Haunted Tales,['horror']
Havel,"['biography', 'drama', 'history']"
He's All That,"['comedy', 'romance']"
He's Expecting,"['comedy', 'drama', 'fantasy', 'romance']"
