title,genres
Abominable,['horror']
Above Suspicion,"['action', 'biography', 'crime', 'thriller']"
Absolute Power,"['short', 'drama']"
Abyss,"['crime', 'fantasy', 'romance']"
Ace Ventura: Pet Detective,['comedy']
Ace Ventura: When Nature Calls,"['adventure', 'comedy', 'crime']"
Ace of Diamond,"['animation', 'sport']"
Ackley Bridge,"['drama', 'romance']"
Acrimony,"['horror', 'romance', 'thriller']"
Act of Valor,"['action', 'adventure', 'thriller', 'war']"
Action Pack,"['animation', 'action', 'adventure', 'comedy', 'family', 'fantasy', 'sci-fi']"
Acts of Violence,"['action', 'crime', 'thriller']"
Ad Astra,"['adventure', 'drama', 'mystery', 'sci-fi', 'thriller']"
Addams Family Values,"['comedy', 'fantasy']"
Addicted,['drama']
Adrift,['thriller']
Afrobeats: The Backstory,['documentary']
After,"['drama', 'romance']"
After Earth,"['action', 'adventure', 'sci-fi']"
After Life,"['comedy', 'drama']"
After We Collided,"['drama', 'romance']"
After We Fell,"['drama', 'romance']"
After the Sunset,"['action', 'comedy', 'crime', 'drama']"
Afterlife of the Party,"['comedy', 'drama', 'fantasy', 'romance']"
Aftermath,"['drama', 'horror', 'mystery', 'thriller']"
Against The Ice,"['adventure', 'drama', 'history']"
Ahwak,"['comedy', 'romance']"
Aileen Wuornos: American Boogeywoman,"['drama', 'horror', 'thriller']"
Akhirat: A Love Story,"['drama', 'fantasy', 'romance']"
Al-Mizan,['crime']
AlRawabi School for Girls,['drama']
Ala Vaikunthapurramuloo,"['action', 'comedy', 'drama']"
Alba,['drama']
Alcatraz,"['action', 'adventure', 'crime', 'drama', 'thriller']"
Alchemy of Souls,"['action', 'drama', 'fantasy', 'romance', 'thriller']"
Alessandro Cattelan: One Simple Question,['reality-tv']
Alexander,['drama']
Ali & Ratu Ratu Queens,"['comedy', 'drama']"
Ali Baba,['comedy']
Alice in Borderland,"['action', 'drama', 'mystery', 'sci-fi', 'thriller']"
Alien: Covenant,"['horror', 'sci-fi', 'thriller']"
Aline,"['biography', 'comedy', 'drama', 'music']"
Alive,"['horror', 'thriller']"
All American,"['drama', 'sport']"
